Rank,Company,3-year Growth,2009 Revenue,Industry,City,State,INC Profile,Company URL,Description,2006 Revenue,Employees,Founded,Industry Rank
3036,Polaris Direct,68,$41.8 million,Advertising & Marketing,Hooksett,NH,http://www.inc.com/inc5000/profile/polaris-direct,http://polarisdirect.net,"Polaris Direct processes high-volume direct mail campaigns for businesses. Its services include laser personalization, ink jet imaging, data processing, mail piece design, mailing services, and forms printing.",$24.8 million,88,2003,#269
3037,CornerStone Telephone,68,$36.3 million,Telecommunications,Troy,NY,http://www.inc.com/inc5000/profile/cornerstone-telephone,http://www.cornerstonetelephone.com,"CornerStone Telephone sells voice, data, and other communication hardware and services to business customers in New York, Massachusetts, and Pennsylvania. CornerStone recently acquired Richmond Telephone Company, increasing the company's footprint in the Northeast.",$21.5 million,100,2002,#124
3038,The Velez Corporation,68,$2.5 million,Consumer Products & Services,New Orleans,LA,http://www.inc.com/inc5000/profile/the-velez-corporation,http://www.crdn.com,The Velez Corporation operates a dry cleaning and laundry service with a specialty in textile restoration.,$1.5 million,39,1940,#160
3039,Casco Contractors,68,$21.4 million,Construction,Santa Ana,CA,http://www.inc.com/inc5000/profile/casco-contractors,http://www.cascocontractors.com,"Casco Contractors is a general contractor that specializes in commercial tenant improvement for both property management and development companies and tenant-owned properties. It provides commercial interior design, construction, and construction management for any type or size of project.",$12.7 million,27,2000,#110
3040,Greenleaf Environmental Group,68,$18.2 million,Environmental Services,Buford,GA,http://www.inc.com/inc5000/profile/greenleaf-environmental-group,http://www.greenleafgroup.net,"Greenleaf Environmental Group offers demolition, decontamination, soil remediation, hazardous and nonhazardous waste disposal, and packaging and disposal of spent or expired chemicals, mostly for industrial facilities and engineering companies. The company also installs landfill cells, caps, and liners, and dredges, solidifies, and closes lagoons.",$10.8 million,41,2001,#41
3041,CBOE Holdings,68,$426.1 million,Financial Services,Chicago,IL,http://www.inc.com/inc5000/profile/cboe-holdings,http://www.cboe.com,"CBOE Holdings is an options exchange company that offers equity, index and ETF options, including proprietary products, such as S&P 500 options (SPX),  and options on the CBOE Volatility Index (VIX).",$253.2 million,0,1973,#154
3042,Kingfisher Systems,68,$7.1 million,Government Services,Alexandria,VA,http://www.inc.com/inc5000/profile/kingfisher-systems,http://www.kingfishersys.com,"Kingfisher Systems offers IT services, operational support, and management consulting to government entities.",$4.2 million,45,1995,#280
3043,Today's Business Solutions,68,$13.4 million,Business Products & Services,Houston,TX,http://www.inc.com/inc5000/profile/todays-business-solutions,http://www.tbstx.com,Today's Business Solutions is an office supply company that partners with OfficeMax for international distribution. The company recently added Seventh Generation eco-friendly products to its line.,$8 million,14,2003,#270
3044,Vertafore,68,$288.8 million,Insurance,Bothell,WA,http://www.inc.com/inc5000/profile/vertafore,http://www.vertafore.com,"Vertafore provides specialized software and services to the insurance industry, its agents, brokers, and carriers.",$171.8 million,1135,1985,#35
3045,AnthroTronix,68,$2.5 million,Engineering,Silver Spring,MD,http://www.inc.com/inc5000/profile/anthrotronix,http://www.atinc.com,"AnthroTronix is a research and development (R&D) firm specializing in the development of advanced interface technology, product development for wearable computing and robotic control systems, and design/development of simulation tools for training applications.",$1.5 million,15,1999,#49
3046,Turbocam,68,$50.5 million,Manufacturing,Barrington,NH,http://www.inc.com/inc5000/profile/turbocam,http://www.turbocam.com,"Turbocam manufactures compressors, turbochargers, jet and rocket engines, air separation, air conditioning, and oil and gas turbomachinery for customers around the world.",$30 million,227,1985,#93
3047,Pro-Air Services,68,$6.1 million,Construction,Decatur,AL,http://www.inc.com/inc5000/profile/pro-air-services,http://www.pro-air.net,"Pro-Air Services installs and maintains heating, air conditioning, and refrigeration equipment for the commercial and industrial environment.",$3.6 million,40,1995,#111
3048,Tech Resouces,68,$2.9 million,Advertising & Marketing,Upper Arlington,OH,http://www.inc.com/inc5000/profile/tech-resouces,http://www.questline.com,"Tech Resources produces informational and educational content such as email newsletters, alerts, communications, webinars, podcasts, and helplines, focusing on clients who provide safety information (automobile, facility, workplace), environmental/green educational information, and green energy utilities.",$1.7 million,20,1991,#270
3049,ACTS,68,$2.1 million,IT Services,Jacksonville,FL,http://www.inc.com/inc5000/profile/acts,http://www.actsolution.net,ACTS provides server and desktop support for businesses.,$1.2 million,15,2002,#378
3050,Aerodyn Engineering,68,$5.5 million,Engineering,Indianapolis,IN,http://www.inc.com/inc5000/profile/aerodyn-engineering,http://www.aerodyneng.com,"Aerodyn Engineering specializes in instrumentation and field testing of gas turbine engines used in marine, industrial, and aerospace applications and structural testing of aircraft and other industrial and commercial equipment.",$3.3 million,35,2002,#50
3051,Kids II,68,$143.4 million,Consumer Products & Services,Alpharetta,GA,http://www.inc.com/inc5000/profile/kids-ii,http://www.kidsii.com,"Kids II retails baby products and also provides design services for such brands as Bright Starts, Baby Einstein, and Disney Baby.",$85.4 million,298,1969,#161
3052,InsightsNow,68,$10.6 million,Advertising & Marketing,Corvallis,OR,http://www.inc.com/inc5000/profile/insightsnow,http://www.insightsnow.com,InsightsNow assists companies with marketing research and product development.,$6.3 million,0,2003,#271
3053,MOSAK Advertising & Insights,68,$5.4 million,Advertising & Marketing,Austin,TX,http://www.inc.com/inc5000/profile/mosak-advertising-insights,http://www.mosak.com,"MOSAK Advertising & Insights is an advertising and marketing agency that specializes in branding, creating, advertising, media, research, Web & social media.",$3.2 million,20,2000,#272
3054,One to One Interactive,68,$13.7 million,Advertising & Marketing,Charlestown,MA,http://www.inc.com/inc5000/profile/one-to-one-interactive,http://www.onetooneinteractive.com,One to One Interactive provides digital marketing services to large corporations.,$8.2 million,130,1997,#273
3055,Computerized Facility Integration,68,$12.1 million,IT Services,Southfield,MI,http://www.inc.com/inc5000/profile/computerized-facility-integration,http://www.gocfi.com,"Computerized Facility Integration provides consulting and IT services to public and private clients in real estate, design and construction, and maintenance and facility management.",$7.2 million,82,1990,#379
3056,PrintGlobe,68,$8.3 million,Business Products & Services,Austin,TX,http://www.inc.com/inc5000/profile/printglobe,http://www.printglobe.com,"PrintGlobe performs custom printing, including promotional items, signs, and banners, for businesses and individuals.",$5 million,35,1995,#271
3057,Environmental Management Specialists,68,$5.2 million,Environmental Services,Cleveland,OH,http://www.inc.com/inc5000/profile/environmental-management-specialists,http://emsonsite.com,"Environmental Management Specialists provides environmental construction, site remediation, emergency spill response, and waste management services.",$3.1 million,22,2000,#42
3058,CableOrganizer.com,67,$13.9 million,Retail,Fort Lauderdale,FL,http://www.inc.com/inc5000/profile/cableorganizercom,http://cableorganizer.com,"CableOrganizer.com sells a wide variety of computer and electronics cables and accessories to companies like NASA, Pfizer, and Kodak. Valerie and Paul Holstein started the company in 2002 when they bought the domain name for $30 and began operating out of their garage.",$8.3 million,45,2002,#152
3059,Healthcare Strategy Group,67,$2.6 million,Health,Louisville,KY,http://www.inc.com/inc5000/profile/healthcare-strategy-group,http://www.healthcarestrategygroup.com,"Healthcare Strategy Group provides a broad range of products and services to help health systems, individual hospitals, and physician practices develop strategic plans, structure joint ventures, consolidate practices, or define  business plans and growth strategies.",$1.6 million,13,1999,#253
3060,ChristianCinema.com,67,$2.3 million,Retail,Visalia,CA,http://www.inc.com/inc5000/profile/christiancinemacom,http://www.christiancinema.com,ChristianCinema.com provides one destination on the Internet for consumers looking for faith and family friendly movies.,$1.4 million,15,1999,#153
3061,i9 Sports,67,$3.4 million,Health,Tampa,FL,http://www.inc.com/inc5000/profile/i9-sports,http://www.i9sports.com,"i9 Sports is a nationwide youth sports franchise, offering flag football, basketball, soccer, cheerleading, and other sports for kids ages 3 to 17.",$2 million,22,2002,#254
3062,Reaction Audio Visual,67,$4.7 million,Business Products & Services,Irvine,CA,http://www.inc.com/inc5000/profile/reaction-audio-visual,http://www.reactionav.com,"Reaction Audio Visual is a nationwide, single-source provider of event technology services for corporations, trade show associations, and meeting planning companies. It provides a variety of products and services from rental equipment to full production design including pro audio, video, lighting, computers, and scenery.",$2.8 million,12,2005,#272
3063,Amherst Partners,67,$5.9 million,Financial Services,Birmingham,MI,http://www.inc.com/inc5000/profile/amherst-partners,http://www.amherstpartners.com,Amherst Partners is an investment banking and turnaround consulting firm that serves middle market companies.,$3.5 million,20,1994,#155
3064,General Oil,67,$36.9 million,Energy,New York,NY,http://www.inc.com/inc5000/profile/general-oil,http://www.generaloilcompany.com,General Oil supplies petroleum and petroleum products.,$22.1 million,10,1997,#68
3065,Futura Services,67,$7.9 million,IT Services,Fort Washington,PA,http://www.inc.com/inc5000/profile/futura-services,http://www.futuraservices.net,"Futura Services sells and services equipment, software, and offers managed IT services with a specialty in mobile asset management.",$4.7 million,34,1992,#380
3066,MedSource,67,$5.4 million,Health,Houston,TX,http://www.inc.com/inc5000/profile/medsource,http://www.medsource.com,MedSource performs clinical research with a focus on complex clinical trials in the field of oncology.,$3.2 million,30,1997,#255
3067,Mechanical Reps,67,$31.5 million,Construction,Austin,TX,http://www.inc.com/inc5000/profile/mechanical-reps,http://www.mechreps.com,"Mechanical Reps is a manufacturer's representative firm specializing in heating, ventilating, and air conditioning (HVAC) sales and service for the commercial construction industry.",$18.8 million,37,1974,#112
3068,Rapid Refill,67,$2.2 million,Business Products & Services,Chanhassen,MN,http://www.inc.com/inc5000/profile/rapid-refill,http://www.rapidrefill.com,Rapid Refill provides environmentally friendly alternatives to the printing process.  It remanufactures ink and toner cartridges which are sold at a reduced cost compared to an Original Equipment Manufacturer.,$1.3 million,12,2002,#273
3069,TargetCast tcm,67,$12 million,Advertising & Marketing,New York,NY,http://www.inc.com/inc5000/profile/targetcast-tcm,http://targetcast.com,TargetCast tcm helps clients manage communications and media in order to build a lasting and profitable relationship between brands and customers.,$7.2 million,72,2002,#274
3070,Personal Computer Systems,67,$24.3 million,Computer Hardware,Louisville,TN,http://www.inc.com/inc5000/profile/personal-computer-systems,http://www.pcsknox.com,"Personal Computer Systems supplies computer hardware and services to schools, government agencies, and businesses in Tennessee.",$14.5 million,60,1996,#27
3071,Gila,67,$30 million,Government Services,Austin,TX,http://www.inc.com/inc5000/profile/gila,http://www.gilacorp.com,"Gila provides outsourced collections, payment processing, and call center services to government entities, financial institutions, and higher education institutions nationwide.",$18 million,382,1991,#281
3072,Gatski Commercial Real Estate Services,67,$6.1 million,Real Estate,Las Vegas,NV,http://www.inc.com/inc5000/profile/gatski-commercial-real-estate-services,http://www.gatskicommercial.com,"Gatski Commercial Real Estate Services provides property management, investment sales & leasing, building landscape & maintenance services as well as cost segregation and property tax liability services.",$3.7 million,84,1993,#31
3073,Dish One Satellite,67,$6.8 million,Consumer Products & Services,Provo,UT,http://www.inc.com/inc5000/profile/dish-one-satellite,http://www.dishone.net,Dish One Satellite is a satellite retailer for DirecTV and Dish Network.,$4.1 million,100,2004,#162
3074,Circle Computer Resources,67,$3.2 million,IT Services,Cedar Rapids,IA,http://www.inc.com/inc5000/profile/circle-computer-resources,http://www.ccr.net,Circle Computer Resources provides Internet and computer related services to large and small businesses nationwide.,$1.9 million,31,1986,#381
3075,Namifiers,67,$8 million,Business Products & Services,Springville,UT,http://www.inc.com/inc5000/profile/namifiers,http://www.namifiers.com,"Namifiers manufactures branded promotional products. Its in-house services include digital printing, screen printing, pad printing, engraving and embroidery, campaign management, graphic design, and search engine optimization.",$4.8 million,85,2001,#274
3076,Sense Corp,67,$15.4 million,Business Products & Services,St. Louis,MO,http://www.inc.com/inc5000/profile/sense-corp,http://www.sensecorp.com,Sense Corp provides business management and technology software consulting services.,$9.2 million,95,1996,#275
3077,Compass Healthcare Communications,67,$5 million,Advertising & Marketing,Princeton,NJ,http://www.inc.com/inc5000/profile/compass-healthcare-communications,http://www.compasshc.com,"Compass Healthcare Communications designs, develops, and measures integrated online marketing programs exclusively for specialty health care brands, specifically non-blockbuster brands in online conducive therapeutic categories, with small or limited budgets, whose target audience is readily available online. They may be in Phase III trials, in market, or facing patent expiration.",$3 million,20,2003,#275
3078,Ikaria,67,$274.6 million,Health,Clinton,NJ,http://www.inc.com/inc5000/profile/ikaria,http://www.ikaria.com,"Ikaria develops critical care therapies through research and development, with a focus on cardiovascular and pulmonary medicine and surgery, transplantation, and neonatology.",$164.9 million,463,1998,#256
3079,Arora Engineers,67,$8.1 million,Engineering,Chadds Ford,PA,http://www.inc.com/inc5000/profile/arora-engineers,http://www.aroraengineers.com,"Arora Engineers plans, designs, and provides construction management and facilities maintenance services for electrical, electrical aeronautical, mechanical, and fire protection engineering projects.",$4.8 million,58,1986,#51
3080,Medical Management Options,67,$32.8 million,Health,Baton Rouge,LA,http://www.inc.com/inc5000/profile/medical-management-options,http://mmoinc.com,"Medical Management Options provides a continuum of care to the mentally ill through the operation of community mental health centers, outpatient psychiatric programs, residential treatment centers, and inpatient psychiatric hospitals. In additional MMO operates community transportation services and physical rehabilitation hospitals.",$19.7 million,500,1993,#257
3081,High Performance Technologies,66,$84.3 million,Government Services,Reston,VA,http://www.inc.com/inc5000/profile/high-performance-technologies,http://www.hpti.com,"High Performance Technologies delivers professional technology services to the federal government, especially in the areas of computational science, enterprise technology and planning, systems architecture and engineering, secure mission software development, and knowledge discovery and visualization.",$50.7 million,364,1991,#282
3082,OFS Solutions,66,$4.4 million,Business Products & Services,Brooklyn,NY,http://www.inc.com/inc5000/profile/ofs-solutions,http://www.ofssolutions.com,"OFS Solutions is an office furniture and services provider. Its clients are primarily other businesses, located throughout the US. OFS offers new, used, and refurbished office furniture, and its services include everything from upholstery and custom millwork to project management and office design and planning. It also offers office, janitorial, and break-room supplies, as well as coffee.",$2.7 million,40,1962,#276
3083,Medistar,66,$3.5 million,Health,Trumbull,CT,http://www.inc.com/inc5000/profile/medistar,http://www.medistarbilling.com,"Medistar helps hospitals and health care providers manage accounts receivable with billing, credentialing, consulting, and software services",$2.1 million,45,1997,#258
3084,Altour,66,$808.6 million,Travel,New York,NY,http://www.inc.com/inc5000/profile/altour,http://www.altour.com,Altour is a travel agency serving luxury and mid-market travel niches. It has 77 offices and more than 900 travel professionals throughout the United States and in Europe.,$486.5 million,928,1991,#14
3085,Excalibur Integrated Systems,66,$4.9 million,IT Services,Chattanooga,TN,http://www.inc.com/inc5000/profile/excalibur-integrated-systems,http://excaliburis.com,"Excalibur Integrated Systems resells and supports data collection and wireless integration products that give its customers reliable remote, wireless access to their data. Clients include the Chattanooga Group and the University of Tennessee.",$2.9 million,12,1981,#382
3086,Cardenas Marketing Network,66,$32.2 million,Advertising & Marketing,Chicago,IL,http://www.inc.com/inc5000/profile/cardenas-marketing-network,http://www.cmnevents.com,"Cardenas Marketing Network helps clients target Hispanic consumers through music, sports, and other marketing platforms.",$19.4 million,30,2003,#276
3087,Arcus,66,$20.9 million,Human Resources,Hummelstown,PA,http://www.inc.com/inc5000/profile/arcus,http://www.arcus.net,"Arcus provides recruiting, staffing, business process outsourcing, and consulting. The company was ranked number three on the Best Places to Work in Pennsylvania list in 2008.",$12.6 million,58,1999,#69
3088,Excella Consulting,66,$13.1 million,IT Services,Mclean,VA,http://www.inc.com/inc5000/profile/excella-consulting,http://www.excella.com,"Excella Consulting helps clients in finance, telecommunications, and energy, and the government define and execute IT strategies.",$7.9 million,65,2002,#383
3089,Lazorpoint,66,$3.1 million,IT Services,Cleveland,OH,http://www.inc.com/inc5000/profile/lazorpoint,http://lazorpoint.com,Lazorpoint consults companies about creating and sustaining growth.,$1.9 million,29,1997,#384
3090,7 Simple Machines,66,$3 million,IT Services,Seattle,WA,http://www.inc.com/inc5000/profile/7-simple-machines,http://7simplemachines.com,"7 Simple Machines helps its clients adopt cloud computing applications, platforms and infrastructure delivered on-demand, through a web browser.  Salesforce.com, Google Apps, and @task are some of the most popular products delivered. 7SM also provides custom built cloud applications and integrations.",$1.8 million,17,2006,#385
3091,Modern Survey,66,$2.1 million,Business Products & Services,Minneapolis,MN,http://www.inc.com/inc5000/profile/modern-survey,http://www.modernsurvey.com,Modern Survey offers business intelligence consulting with a focus on human capital management.,$1.2 million,23,1999,#277
3092,Unishippers,66,$2.5 million,Logistics & Transportation,Norwalk,CA,http://www.inc.com/inc5000/profile/unishippers,http://www.unishippers.com,This Unishippers franchisee is a reseller of UPS small parcel services and a broker of freight services.,$1.5 million,5,2005,#55
3093,Valudor Products,66,$23.3 million,Manufacturing,Rancho Santa Fe,CA,http://www.inc.com/inc5000/profile/valudor-products,http://www.valudor.com,Valudor Products distributes chemicals for industrial and agricultural uses.,$14.1 million,7,2004,#94
3094,Voiplink,66,$5.1 million,Telecommunications,CARLSBAD,CA,http://www.inc.com/inc5000/profile/voiplink,http://www.voiplink.com,Voiplink resells VoIP equipment through Internet and telephone sales. Its extensive website features comprehensive product descriptions that enable customers to compare a variety of equipment models and manufacturers.,$3.1 million,7,2006,#125
3095,Sun Light & Power,66,$12.7 million,Energy,Berkeley,CA,http://www.inc.com/inc5000/profile/sun-light-power,http://www.sunlightandpower.com,"Sun Light & Power sells and installs custom solar electric, solar hot water, and radiant heating systems. Its customers are homeowners, businesses, general contractors, architects, and government agencies.",$7.6 million,55,1976,#69
3096,Fortis Riders,66,$3.1 million,Logistics & Transportation,Greenville,SC,http://www.inc.com/inc5000/profile/fortis-riders,http://fortisnet.com,Fortis Riders provides chauffered transportation for business executives in 550 cities worldwide.,$1.9 million,8,2000,#56
3097,Superior Press,65,$18.8 million,Business Products & Services,Santa Fe Springs,CA,http://www.inc.com/inc5000/profile/superior-press,http://www.superior-press.com,Superior Press prints and distributes custom checks and other banking supplies.,$11.3 million,79,1931,#278
3098,Market Street Solutions,65,$2.8 million,Business Products & Services,Chattanooga,TN,http://www.inc.com/inc5000/profile/market-street-solutions,http://www.marketstreetsolutions.com,"Market Street Solutions helps clients implement the business intelligence and financial management systems of its partners IBM, Microsoft, and QlikView.",$1.7 million,14,2002,#279
3099,Semper Home Loans,65,$2.3 million,Financial Services,Providence,RI,http://www.inc.com/inc5000/profile/semper-home-loans,http://www.sempfi.com,Semper Home Loans is a mortgage lender named after the U.S. Marines slogan.,$1.4 million,30,2005,#156
3100,Austin Ribbon & Computer,65,$93.2 million,Computer Hardware,Austin,TX,http://www.inc.com/inc5000/profile/austin-ribbon-computer,http://www.arc-texas.com,"Austin Ribbon & Computer sells computers from a single new PC to an entire department or company upgrade to health care companies, educational institutions, and government entities.",$56.4 million,45,1984,#28
3101,Sealex,65,$2.3 million,Manufacturing,Harbor Springs,MI,http://www.inc.com/inc5000/profile/sealex,http://www.sealexinc.com,Sealex designs and manufactures preformed joint seals for commercial and residential weatherproofing applications.,$1.4 million,7,1992,#95
3102,Hoffman Media,65,$41.3 million,Media,Birmingham,AL,http://www.inc.com/inc5000/profile/hoffman-media,http://www.hoffmanmedia.com,Hoffman Media (HM) is a special-interest publisher targeted towards women.,$25 million,126,1983,#37
3103,New Flight Charters,65,$7.5 million,Logistics & Transportation,Jackson,WY,http://www.inc.com/inc5000/profile/new-flight-charters,http://www.newflightcharters.com,New Flight charters private jet and other aircraft for nationwide and international flights.,$4.5 million,10,2004,#57
3104,OneCommand,65,$24.1 million,Advertising & Marketing,Cincinnati,OH,http://www.inc.com/inc5000/profile/onecommand,http://www.onecommand.com,OneCommand offers a variety of digital marketing and communications services to a wide variety of industries.,$14.6 million,94,2002,#277
3105,SOAProjects,65,$9.9 million,Business Products & Services,Mountain View,CA,http://www.inc.com/inc5000/profile/soaprojects,http://www.soaprojects.com,"SOAProjects provides crisis management services across a wide range of disciplines, including internal audits, Sarbanes-Oxley compliance, risk analysis, SEC reporting, and IT services.",$6 million,60,2004,#280
3106,Atlas Travel International,65,$139.8 million,Travel,Milford,MA,http://www.inc.com/inc5000/profile/atlas-travel-international,http://www.atlastravel.com,"Atlas Travel International offers business travel management, vacation planning, incentive marketing, event and meeting planning, and a retail travel goods boutique. Clients include Planned Parenthood, Christmas Tree Shops, and the Boston Museum of Science.",$84.7 million,105,1986,#15
3107,.decimal,65,$10.9 million,Health,Sanford,FL,http://www.inc.com/inc5000/profile/decimal,http://www.dotdecimal.com,.decimal (pronounced dot decimal) manufactures medical devices used in radiation therapy for cancer treatment.,$6.6 million,50,1986,#259
3108,Pinnacle Services,65,$11.5 million,Health,Minneapolis,MN,http://www.inc.com/inc5000/profile/pinnacle-services,http://www.pinnacleservices.org,"Pinnacle Services provides housing, employment, financial, and in-home services to people with developmental disabilities and elderly people dealing with dementia or Alzheimer's.",$7 million,450,1999,#260
3109,"Cohen, Eric and Associates",65,$4.4 million,Financial Services,Rockville,MD,http://www.inc.com/inc5000/profile/cohen-eric-and-associates,http://www.ecohencpas.com,"Cohen, Eric and Associates is a public accounting firm serving clients in the state of Maryland. Its services include tax planning and preparation, wealth management, accounting services, compilations, reviews, audits, and business advisory services.",$2.7 million,28,1991,#157
3110,Royal Document Destruction,65,$2.8 million,Business Products & Services,Gahanna,OH,http://www.inc.com/inc5000/profile/royal-document-destruction,http://www.royaldocumentdestruction.com,"Royal Document Destruction provides shredding services for businesses of all sizes.  It handles the secure destruction of paper documents, media and, products with a fleet of mobile shredding trucks and provides services to customers in Ohio, Indiana, and Kentucky.  All paper is recycled after being shred.",$1.7 million,21,1995,#281
3111,HaloSource,65,$12.2 million,Consumer Products & Services,Bothell,WA,http://www.inc.com/inc5000/profile/halosource,http://www.halosource.com,HaloSource is a clean water and antimicrobial technology company.,$7.4 million,104,2002,#163
3112,Briteskies,65,$3.7 million,IT Services,Independence,OH,http://www.inc.com/inc5000/profile/briteskies,http://www.briteskies.com,"Briteskies provides application development, technical support, Web design and development, and IBM WebSphere implementation for clients in manufacturing, oil and gas, retail, and mining.",$2.3 million,20,2000,#386
3113,Dutch Valley Auto Works,65,$2.8 million,Consumer Products & Services,LANCASTER,PA,http://www.inc.com/inc5000/profile/dutch-valley-auto-works,http://dutchvalleyauto.com,"Dutch Valley Auto Works provides vehicle collision repairs, restoration work, and all service work including state inspections and 24-hour towing in Central and South Central Pennsylvania.",$1.7 million,21,1971,#164
3114,Turning Technologies,65,$33.6 million,Business Products & Services,Youngstown,OH,http://www.inc.com/inc5000/profile/turning-technologies,http://www.turningtechnologies.com,Turning Technologies develops hardware and software designed to allow remote audience response and gather audience feedback data during presentations. Clients include companies in the professional and educational markets.,$20.4 million,139,2002,#282
3115,Noodles & Company,65,$192.7 million,Food & Beverage,Broomfield,CO,http://www.inc.com/inc5000/profile/noodles-company,http://www.noodles.com,"Noodles & Company is a quick-casual, globally inspired noodle restaurant.",$117.1 million,4760,1995,#80
3116,Enviro-Safe Consulting,65,$2 million,Environmental Services,BROOKFIELD,WI,http://www.inc.com/inc5000/profile/enviro-safe-consulting,http://www.enviro-safe.com,Enviro-Safe Consulting assists chemical and pharmaceutical manufacturers to ensure that their facilities are up to state and federal safety standards.,$1.2 million,8,2002,#43
3117,The I.T. Pros,65,$4.3 million,IT Services,San Diego,CA,http://www.inc.com/inc5000/profile/the-it-pros,http://www.theitpros.com,The I.T. Pros provides managed information technology support packages and consulting services geared towards the internal IT needs of small businesses.,$2.6 million,23,2002,#387
3118,Adaptive Materials,65,$6.8 million,Energy,Ann Arbor,MI,http://www.inc.com/inc5000/profile/adaptive-materials,http://www.adaptivematerials.com,"Adaptive Materials manufactures portable alternative fuel cell systems that are used on yachts, by medical services, and the military.",$4.1 million,66,1999,#70
3119,AKASHA-US,65,$12.7 million,Consumer Products & Services,Ann Arbor,MI,http://www.inc.com/inc5000/profile/akasha-us,http://akasha-us.com,Akasha-US sells wholesale home decor products to retailers.,$7.7 million,17,1988,#165
3120,GEO Consultants,65,$6.5 million,Environmental Services,Kevil,KY,http://www.inc.com/inc5000/profile/geo-consultants,http://www.geoconsultantsllc.com,"GEO Consultants is an environmental services and geological engineering firm that serves the environmental, energy, and water supply needs of government and private industries.",$4 million,48,1997,#44
3121,Ravi's Import Warehouse,65,$57.4 million,Consumer Products & Services,Dallas,TX,http://www.inc.com/inc5000/profile/ravis-import-warehouse,http://www.importwarehouseinc.com,"Ravi's Import Warehouse imports and distributes a wide variety of wholesale products to grocery stores, convenience stores, gas stations, dollar stores, and other retailers.",$34.9 million,40,1982,#166
3122,Voce Communications,64,$8.6 million,Advertising & Marketing,Sunnyvale,CA,http://www.inc.com/inc5000/profile/voce-communications,http://vocecommunications.com,"Voce Communications does PR and strategic communications consulting, mainly for high-tech and consumer companies such as Yahoo!, Sony, NetApp, eBay, Disney, Splunk, and Fujitsu.",$5.2 million,45,1999,#278
3123,Sign-A-Rama Greensboro,64,$2.6 million,Manufacturing,Greensboro,NC,http://www.inc.com/inc5000/profile/sign-a-rama-greensboro,http://www.signsgso.com,"Sign-A-Rama Greensboro designs, manufactures, sells, and installs all types of signs.",$1.6 million,27,2004,#96
3124,Heartland Business Systems,64,$73.6 million,IT Services,Little Chute,WI,http://www.inc.com/inc5000/profile/heartland-business-systems,http://www.hbs.net,"Heartland Business Systems performs computer networking, technology planning, cabling, software consulting, and other managed IT services for businesses in Wisconsin. The company began as a manufacturer and distributor of labels and other packaging materials, merging with a technology company in 1992 to offer more complete business services under one company, as well as allowing it to upgrade its label offerings.",$44.8 million,276,1990,#388
3125,HDR,64,$1.5 billion,Construction,Omaha,NE,http://www.inc.com/inc5000/profile/hdr,http://www.hdrinc.com,"HDR is an employee-owned architectural, engineering, and consulting firm.",$904.3 million,7772,1917,#113
3126,Lee Mathews Equipment,64,$48.2 million,Business Products & Services,Kansas City,MO,http://www.inc.com/inc5000/profile/lee-mathews-equipment,http://www.leemathews.com,"Lee Mathews Equipment sells, rents, and services pumps and other equipment to industrial, municipal, quarry, engineering, and construction markets across the Midwest.",$29.3 million,125,1954,#283
3127,New Glarus Brewing,64,$18.6 million,Food & Beverage,New Glarus,WI,http://www.inc.com/inc5000/profile/new-glarus-brewing,http://www.newglarusbrewing.com,New Glarus Brewing brews a variety of hand-crafted beers that are distributed nationally.,$11.3 million,47,1993,#81
3128,Alexander Open Systems,64,$106.2 million,IT Services,Overland Park,KS,http://www.inc.com/inc5000/profile/alexander-open-systems,http://aos5.com,"Alexander Open Systems specializes in consulting, designing, implementing and supporting local, wide area, and wireless networks, unified communications, storage, virtualization, and physical and information security.",$64.7 million,191,1992,#389
3129,Allen Corporation of America,64,$23.6 million,Government Services,Fairfax,VA,http://www.inc.com/inc5000/profile/allen-corporation-of-america,http://www.allencorp.com,Allen Corporation of America provides tactical automated logistics systems expertise for the U.S. Army.,$14.4 million,250,1975,#283
3130,House of Antique Hardware,64,$8.3 million,Retail,Portland,OR,http://www.inc.com/inc5000/profile/house-of-antique-hardware,http://houseofantiquehardware.com,House of Antique Hardware sells period reproduction hardware for homeowners and restoration professionals.,$5.1 million,32,1999,#154
3131,Sawgrass Asset Management,64,$6.9 million,Financial Services,Jacksonville Beach,FL,http://www.inc.com/inc5000/profile/sawgrass-asset-management,http://www.saw-grass.com,"Sawgrass Asset Management provides asset management and institutional investment services to corporate, municipal, and labor retirement plans.",$4.2 million,20,1998,#158
3132,National Asset Recovery Services,64,$71.7 million,Financial Services,Chesterfield,MO,http://www.inc.com/inc5000/profile/national-asset-recovery-services,http://www.narsnet.com,National Asset Recovery Services operates call centers that manage customer relations and debt collection for businesses in the financial services industry.,$43.7 million,3300,1993,#159
3133,ValueCentric Marketing Group,64,$7.7 million,Software,Binghamton,NY,http://www.inc.com/inc5000/profile/valuecentric-marketing-group,http://www.vcmg.net,"ValueCentric Marketing Group facilitates and manages electronic loyalty and rewards transactions on behalf of branded credit cards, such as those offered by gas stations, convenience stores, banks, retailers, and other merchants.",$4.7 million,37,2001,#198
3134,WCS Lending,64,$27.6 million,Financial Services,Boca Raton,FL,http://www.inc.com/inc5000/profile/wcs-lending,http://www.wcslending.com,WCS Lending is a nationally licensed mortgage bank with five full-service retail branch locations across the country.,$16.8 million,200,2001,#160
